method,point_name,total_generated_instr,prefix_generated_instr,extra_generated_instr,source,cov_report,block_pct,branch_pct,statement_pct,expression_pct,toggle_pct,statement_dup_pct,fsm_pct,assertion_pct,covergroup_pct
baseline_only,baseline_only_9000,9000,9000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_009000/report/cov_report.txt,78.73,60.48,80.31,68.01,67.82,80.31,60.87,94.62,7.38
baseline_plus_bsdcov,baseline_plus_bsdcov_9000,9000,9000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_009000/report/cov_report.txt,78.73,60.48,80.31,68.01,67.82,80.31,60.87,94.62,7.38
baseline_only,baseline_only_10000,10000,10000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_010000/report/cov_report.txt,78.78,60.57,80.37,68.08,67.98,80.37,60.87,94.62,7.41
baseline_plus_bsdcov,baseline_plus_bsdcov_10000,10000,10000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_010000/report/cov_report.txt,78.78,60.57,80.37,68.08,67.98,80.37,60.87,94.62,7.41
baseline_only,baseline_only_10500,10500,10000,500,baseline_prefix + baseline_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_only/extra_000500/report/cov_report.txt,78.91,60.77,80.44,68.25,69.07,80.44,60.87,94.62,8.12
baseline_plus_bsdcov,baseline_plus_bsdcov_10500,10500,10000,500,baseline_prefix + bsdcov_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_plus_bsdcov/extra_000500/report/cov_report.txt,78.85,60.71,80.44,68.11,68.36,80.44,60.87,94.62,7.51
baseline_only,baseline_only_11000,11000,10000,1000,baseline_prefix + baseline_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_only/extra_001000/report/cov_report.txt,78.92,60.8,80.45,68.29,69.15,80.45,60.87,94.62,8.12
baseline_plus_bsdcov,baseline_plus_bsdcov_11000,11000,10000,1000,baseline_prefix + bsdcov_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_plus_bsdcov/extra_001000/report/cov_report.txt,78.85,60.71,80.44,68.11,68.36,80.44,60.87,94.62,7.51
baseline_only,baseline_only_11500,11500,10000,1500,baseline_prefix + baseline_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_only/extra_001500/report/cov_report.txt,78.92,60.8,80.45,68.29,69.15,80.45,60.87,94.62,8.12
baseline_plus_bsdcov,baseline_plus_bsdcov_11500,11500,10000,1500,baseline_prefix + bsdcov_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_plus_bsdcov/extra_001500/report/cov_report.txt,78.85,60.71,80.44,68.11,68.36,80.44,60.87,94.62,7.51
baseline_only,baseline_only_12000,12000,10000,2000,baseline_prefix + baseline_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_only/extra_002000/report/cov_report.txt,78.98,60.91,80.5,68.36,69.16,80.5,60.87,94.62,8.19
baseline_plus_bsdcov,baseline_plus_bsdcov_12000,12000,10000,2000,baseline_prefix + bsdcov_extra,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/suite_baseline10k_bsdcov2k_templates_v1/merged_cov/baseline_plus_bsdcov/extra_002000/report/cov_report.txt,78.85,60.71,80.44,68.11,68.36,80.44,60.87,94.62,7.51
