rank,signature,hit_count,hit_pct
17,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",161,0.5040227905957487
18,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",146,0.4570641455091882
19,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=0",82,0.25670725980653036
20,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",81,0.25357668346742634
21,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",72,0.2254014964154901
22,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=1,wb_nonzero=0",70,0.21914034373728203
23,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",59,0.1847040040071377
24,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",44,0.13774535892057727
25,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",31,0.0970478665122249
26,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",29,0.09078671383401685
27,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",27,0.08452556115580878
28,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=1,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",25,0.07826440847760073
29,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=1,wb_nonzero=1",24,0.0751338321384967
30,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",24,0.0751338321384967
31,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",24,0.0751338321384967
32,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=1,wb_nonzero=1",22,0.06887267946028863
33,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=0",20,0.06261152678208058
34,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=1",20,0.06261152678208058
35,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",16,0.050089221425664465
36,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",16,0.050089221425664465
37,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=1",15,0.04695864508656043
38,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",14,0.04382806874745641
39,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",14,0.04382806874745641
40,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=1",13,0.040697492408352375
41,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",11,0.034436339730144316
42,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",10,0.03130576339104029
43,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",10,0.03130576339104029
44,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",10,0.03130576339104029
45,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=1",8,0.025044610712832233
46,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",4,0.012522305356416116
47,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=1",3,0.009391729017312087
48,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",2,0.006261152678208058
49,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",1,0.003130576339104029
