experiment_id,method_id,sample_idx,sample_trigger_type,sample_trigger_count,seeds_included,last_seed,generated_instr_count,dut_seen_instr_count,retired_instr_count,cumulative_generated_instr_count,cumulative_dut_seen_instr_count,cumulative_retired_instr_count,coverage_scope,block_pct,block_covered,block_total,block_uncovered,branch_pct,branch_covered,branch_total,branch_uncovered,statement_pct,statement_covered,statement_total,statement_uncovered,expression_pct,expression_covered,expression_total,expression_uncovered,toggle_pct,toggle_covered,toggle_total,toggle_uncovered,statement_dup_pct,statement_dup_covered,statement_dup_total,statement_dup_uncovered,fsm_pct,fsm_covered,fsm_total,fsm_uncovered,assertion_pct,assertion_covered,assertion_total,assertion_uncovered,covergroup_pct,covergroup_covered,covergroup_total,covergroup_uncovered,cov_report,coverage_report_s
ibex_2seed_io_collect_hazard_stall,io_collect_hazard_stall,1,generated,4683,1,888,4683,,607,4683,,607,ibex_top,77.39,10819,13980,1703,57.81,4048,7002,358,78.82,11370,14425,2371,66.77,3828,5733,5063,63.89,23330,36515,9322,78.82,11370,14425,2371,60.87,84,138,,94.62,369,390,52,6.28,1228,19552,,legacy_removed/ibex_2seed_io_collect_hazard_stall/cumulative_cov/io_collect_hazard_stall/point_001/report/cov_report.txt,21.78550019301474
ibex_2seed_io_collect_hazard_stall,io_collect_hazard_stall,2,generated,9376,2,889,4693,,1472,9376,,2079,ibex_top,77.78,10873,13980,1703,58.53,4098,7002,358,79.06,11405,14425,2371,67.35,3861,5733,5063,66.13,24147,36515,9322,79.06,11405,14425,2371,60.87,84,138,,94.62,369,390,52,7.12,1392,19552,,legacy_removed/ibex_2seed_io_collect_hazard_stall/cumulative_cov/io_collect_hazard_stall/point_002/report/cov_report.txt,19.72931654797867
