sample_id,i_bits,o_bits,i_hex,o_hex,count
188,0010000010000000000000111000000100010110110,0000,0x104001c08b6,0x0,2032
189,0010000010000100000000111110111111110110110,0000,0x104201f7fb6,0x0,1000
190,1010000010000100000000111110110000011110110,0000,0x504201f60f6,0x0,1000
191,1010000010000000000000111110110000011011000,0000,0x504001f60d8,0x0,34073
192,0010000010000100000000111111111111100011000,0000,0x104201fff18,0x0,1000
193,0010000010000000000000111111111111100011100,0000,0x104001fff1c,0x0,13282
194,0010000010000100000000111011100100110011100,0000,0x104201dc99c,0x0,1000
195,0010000010000000000000111011100100110011100,0000,0x104001dc99c,0x0,6148
196,0010000010000101000001110011110110111001010,1000,0x1042839edca,0x8,3661
197,0010000010000101010001111011110110111001010,1000,0x1042a3dedca,0x8,413
198,0010000011000101000000111011110110111001010,1000,0x106281dedca,0x8,2080
199,0010000011000101100000111011110110111001010,0000,0x1062c1dedca,0x0,733
200,0010000010000101110001111011111110111000110,0000,0x1042e3dfdc6,0x0,294
201,0010000010000101000001110011111001111000000,1000,0x1042839f3c0,0x8,4771
202,0010000010000101010001111011111001111000000,1000,0x1042a3df3c0,0x8,523
203,0010000011000101000000111011111001111000000,1000,0x106281df3c0,0x8,1818
204,0010000011000101100000111011111001111000000,0000,0x1062c1df3c0,0x0,652
205,0010000010000101000001110011110101111001000,1000,0x1042839ebc8,0x8,4444
206,0010000010000101010001111011110101111001000,1000,0x1042a3debc8,0x8,523
207,0010000011000101000000111011110101111001000,1000,0x106281debc8,0x8,1803
208,0010000011000101100000111011110101111001000,0000,0x1062c1debc8,0x0,616
209,0010000010000101000001110011110011111001100,1000,0x1042839e7cc,0x8,4347
210,0010000010000101010001111011110011111001100,1000,0x1042a3de7cc,0x8,503
211,0010000011000101000000111011110011111001100,1000,0x106281de7cc,0x8,1730
212,0010000011000101100000111011110011111001100,0000,0x1062c1de7cc,0x0,574
213,0010000010000101110001111011111111111000110,0000,0x1042e3dffc6,0x0,412
214,0010000010000100000001110000000100010001110,1000,0x1042038088e,0x8,4568
215,0010000010000001010001111011111010111001010,0000,0x1040a3df5ca,0x0,326
216,0010000010000001000000111011111010111001010,0000,0x104081df5ca,0x0,4336
217,0010000010000101000000111011110110111001010,1000,0x104281dedca,0x8,320
218,0010000010000101000001110011111101111000100,1000,0x1042839fbc4,0x8,4589
219,0010000010000101010001111011111101111000100,1000,0x1042a3dfbc4,0x8,531
220,0010000011000101000000111011111101111000100,1000,0x106281dfbc4,0x8,1887
221,0010000011000101100000111011111101111000100,0000,0x1062c1dfbc4,0x0,627
222,0010000010000101110001111011110001111001110,0000,0x1042e3de3ce,0x0,331
223,0010000010000001010001111011110101111000100,0000,0x1040a3debc4,0x0,101
224,0010000010000001000000111011110101111000100,0000,0x104081debc4,0x0,7021
225,0010000010000101000000111011111101111000100,1000,0x104281dfbc4,0x8,96
226,0010000010000001000001110011111101111001100,0000,0x1040839fbcc,0x0,352
227,0010000010000101000001110011111011111000010,1000,0x1042839f7c2,0x8,4828
228,0010000010000101010001111011111011111000010,1000,0x1042a3df7c2,0x8,532
229,0010000011000101000000111011111011111000010,1000,0x106281df7c2,0x8,1585
230,0010000011000101100000111011111011111000010,0000,0x1062c1df7c2,0x0,622
231,0010000010000001010001111011111011111001010,0000,0x1040a3df7ca,0x0,68
232,0010000010000001000000111011111011111001010,0000,0x104081df7ca,0x0,3763
233,0010000010000101000000111011110111111001010,1000,0x104281defca,0x8,62
234,0010000010000101000001110011111111111000110,1000,0x1042839ffc6,0x8,4321
235,0010000010000101010001111011111111111000110,1000,0x1042a3dffc6,0x8,497
236,0010000010000101110001111011110111111001010,0000,0x1042e3defca,0x0,394
237,0010000010000001000001110011110011111000010,0000,0x1040839e7c2,0x0,354
238,0010000010000001000001110011111010111001010,0000,0x1040839f5ca,0x0,1130
239,0010000010000001000001110011111111111001110,0000,0x1040839ffce,0x0,255
240,0010000010000001010001111011111111111001110,0000,0x1040a3dffce,0x0,74
241,0010000010000001000000111011111111111001110,0000,0x104081dffce,0x0,1875
242,0010000010000100000000111000000100010001110,0000,0x104201c088e,0x0,74
243,0010000010000001000001110011110110111000110,0000,0x1040839edc6,0x0,971
244,0010000010000001010001111011110110111000110,0000,0x1040a3dedc6,0x0,210
245,0010000010000001000000111011110110111000110,0000,0x104081dedc6,0x0,2308
246,0010000010000101000000111011111110111000110,1000,0x104281dfdc6,0x8,196
247,0010000010000001010001111011111110111001110,0000,0x1040a3dfdce,0x0,164
248,0010000010000001000000111011111110111001110,0000,0x104081dfdce,0x0,4576
249,0010000010000101000000111011110001111001110,1000,0x104281de3ce,0x8,157
250,0010000010000001010001111011111001111001000,0000,0x1040a3df3c8,0x0,96
251,0010000010000001000000111011111001111001000,0000,0x104081df3c8,0x0,2455
252,0010000010000101000000111011110101111001000,1000,0x104281debc8,0x8,93
253,0010000010000001000001110011110101111000100,0000,0x1040839ebc4,0x0,357
254,0010000010000101100000111011111110111000110,0000,0x1042c1dfdc6,0x0,14
255,0010000010000001010001111011110001111000000,0000,0x1040a3de3c0,0x0,136
256,0010000010000001000000111011110001111000000,0000,0x104081de3c0,0x0,6405
257,0010000010000101000000111011111001111000000,1000,0x104281df3c0,0x8,129
258,0010000010000000000000111110111111110110110,0000,0x104001f7fb6,0x0,1463
259,0010000010000001000001110011111110111001110,0000,0x1040839fdce,0x0,722
260,0010000010000001010001111011111101111001100,0000,0x1040a3dfbcc,0x0,79
261,0010000010000001000000111011111101111001100,0000,0x104081dfbcc,0x0,4040
262,0010000010000101000000111011110011111001100,1000,0x104281de7cc,0x8,71
263,0010000010000001010001111011110011111000010,0000,0x1040a3de7c2,0x0,96
264,0010000010000001000000111011110011111000010,0000,0x104081de7c2,0x0,5373
265,0010000010000101000000111011111011111000010,1000,0x104281df7c2,0x8,90
266,0010000010000001000001110011111001111001000,0000,0x1040839f3c8,0x0,437
267,0010000010000001000001110011110001111000000,0000,0x1040839e3c0,0x0,460
