sample_id,i_bits,o_bits,i_hex,o_hex,count
356,1010000010000000000000111101101000011000100,0000,0x504001ed0c4,0x0,3
357,1010000010000100000000111011100000011000100,0000,0x504201dc0c4,0x0,1
358,1010000010000000000000111011100000011011100,0000,0x504001dc0dc,0x0,49
359,0010000010000100000000111010101111110011100,0000,0x104201d5f9c,0x0,2
360,0010000010000100000000111101100110010010100,0000,0x104201ecc94,0x0,2
361,0010000010000000000000111101100110010101100,0000,0x104001eccac,0x0,19
362,0010001000000100000000111111111110111101100,0100,0x110201ffdec,0x4,2
363,0010001011000100000000111111111110111101100,0000,0x116201ffdec,0x0,2
364,0010001000000000000000111111111110111001100,0000,0x110001ffdcc,0x0,10
365,0010000010000100000000111010101011011000000,0000,0x104201d56c0,0x0,2
366,0010000010000100000000111001100011011010100,0000,0x104201cc6d4,0x0,2
367,0010000010000000000000111001100011011001100,0000,0x104001cc6cc,0x0,18
368,0010000010000100000000111001101101011001100,0000,0x104201cdacc,0x0,2
369,0010000010000000000000111001101101011001100,0000,0x104001cdacc,0x0,3
370,0010000010000100000000111100011111111001100,0000,0x104201e3fcc,0x0,2
371,0010000010000000000000111100011111111010110,0000,0x104001e3fd6,0x0,5
372,0010000000000100000100111100101110011010110,0100,0x100209e5cd6,0x4,2
373,0010000011000100000100111100101110011010110,0000,0x106209e5cd6,0x0,2
374,0010000010000100000000111000101011011100000,0000,0x104201c56e0,0x0,2
375,0010000010000000000000111000101011011000100,0000,0x104001c56c4,0x0,11
376,0010000010000100000000111010011000010000100,0000,0x104201d3084,0x0,2
377,0010000010000000000000111010011000010010010,0000,0x104001d3092,0x0,7
378,0010000010000100000000111110100011100010010,0000,0x104201f4712,0x0,2
379,0010000010000100000000111110101111011100000,0000,0x104201f5ee0,0x0,2
380,0010000010000100000000111001101010110110100,0000,0x104201cd5b4,0x0,2
381,0010000010000100000000111001100001110001100,0000,0x104201cc38c,0x0,2
382,0010000000000100000100111101111110011001100,0100,0x100209efccc,0x4,2
383,0010000011000100000100111101111110011001100,0000,0x106209efccc,0x0,2
384,0010000010000100000000111010000000110110010,0000,0x104201d01b2,0x0,2
385,0010000010000100000000111110110000110110100,0000,0x104201f61b4,0x0,2
386,0010000010000100000000111100000111110110110,0000,0x104201e0fb6,0x0,2
387,0010000010000000000000111100000111110101110,0000,0x104001e0fae,0x0,2
388,0010000010000100000000111100110000010101110,0000,0x104201e60ae,0x0,2
389,1010000010000100000000111011001000011110100,0000,0x504201d90f4,0x0,2
