experiment,method,seed,sample_idx,instruction_count,cumulative_instruction_count,sample_name,cov_report,coverage_report_s,block_pct,block_covered,block_total,block_uncovered,branch_pct,branch_covered,branch_total,branch_uncovered,statement_pct,statement_covered,statement_total,statement_uncovered,expression_pct,expression_covered,expression_total,expression_uncovered,toggle_pct,toggle_covered,toggle_total,toggle_uncovered,statement_dup_pct,statement_dup_covered,statement_dup_total,statement_dup_uncovered,fsm_pct,fsm_covered,fsm_total,fsm_uncovered,assertion_pct,assertion_covered,assertion_total,assertion_uncovered,covergroup_pct,covergroup_covered,covergroup_total,covergroup_uncovered
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,1,500,500,bsd_cov_sample_000500,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_000500/report/cov_report.txt,38.04004677303601,76.95,10758,13980,1703,56.97,3989,7002,358,78.06,11255,14419,2371,66.21,3796,5733,5063,62.59,22733,36321,9322,78.06,11255,14419,2371,60.87,84,138,,93.08,363,390,52,5.72,1118,19552,
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,2,1000,1000,bsd_cov_sample_001000,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_001000/report/cov_report.txt,38.02087124297395,77.73,10866,13980,1703,58.45,4093,7002,358,79.09,11404,14419,2371,67.22,3854,5733,5063,65.21,23686,36321,9322,79.09,11404,14419,2371,60.87,84,138,,94.1,367,390,52,6.24,1220,19552,
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,3,1500,1500,bsd_cov_sample_001500,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_001500/report/cov_report.txt,37.93553982791491,77.93,10895,13980,1703,58.87,4122,7002,358,79.3,11434,14419,2371,67.31,3859,5733,5063,66.19,24041,36321,9322,79.3,11434,14419,2371,60.87,84,138,,94.1,367,390,52,6.52,1274,19552,
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,4,2000,2000,bsd_cov_sample_002000,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_002000/report/cov_report.txt,38.09240209800191,78.08,10916,13980,1703,59.17,4143,7002,358,79.46,11458,14419,2371,67.43,3866,5733,5063,66.56,24175,36321,9322,79.46,11458,14419,2371,60.87,84,138,,94.1,367,390,52,6.66,1302,19552,
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,5,2500,2500,bsd_cov_sample_002500,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_002500/report/cov_report.txt,22.610233232961036,78.34,10952,13980,1703,59.68,4179,7002,358,79.74,11498,14419,2371,67.64,3878,5733,5063,66.81,24267,36321,9322,79.74,11498,14419,2371,60.87,84,138,,94.62,369,390,52,6.81,1332,19552,
ibex_3k_riscvdv_baseline_step500,baseline_riscvdv_3k_step500_seed888,888,6,3000,3000,bsd_cov_sample_003000,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_3k_step500/sample_cov/baseline_riscvdv_3k_step500_seed888/bsd_cov_sample_003000/report/cov_report.txt,22.468299754080363,78.38,10958,13980,1703,59.77,4185,7002,358,79.78,11504,14419,2371,67.64,3878,5733,5063,66.93,24309,36321,9322,79.78,11504,14419,2371,60.87,84,138,,94.62,369,390,52,6.85,1340,19552,
