metric,baseline_pct,candidate_pct,delta_pct
block,78.21,72.12,-6.089999999999989
branch,59.55,47.59,-11.959999999999994
statement,79.47,73.17,-6.299999999999997
expression,67.43,59.41,-8.02000000000001
toggle,67.01,44.8,-22.210000000000008
statement_dup,79.47,73.17,-6.299999999999997
fsm,60.87,37.68,-23.189999999999998
assertion,95.9,90.26,-5.640000000000001
covergroup,7.15,4.36,-2.79
